İlçe,Harita İlçe-Mahalle,2023 Nüfus
Adalar,Adalar Burgazada,1654
Adalar,Adalar Maden,4845
Adalar,Adalar Nizam,3753
Adalar,Adalar Heybeliada,4057
Adalar,Adalar Kınalıada,2016
Arnavutköy,Arnavutköy Arnavutköy Merkez,22758
Arnavutköy,Arnavutköy İslambey,26182
Arnavutköy,Arnavutköy Yavuz Selim,12938
Arnavutköy,Arnavutköy İmrahor,11976
Arnavutköy,Arnavutköy Atatürk,10235
Arnavutköy,Arnavutköy Boğazköy İstiklal,12696
Arnavutköy,Arnavutköy Yunus Emre,19820
Arnavutköy,Arnavutköy Mavigöl,10033
Arnavutköy,Arnavutköy Hicret,4034
Arnavutköy,Arnavutköy Bolluca,8308
Arnavutköy,Arnavutköy Karlıbayır,10734
Arnavutköy,Arnavutköy Haraççı,11196
Arnavutköy,Arnavutköy Adnan Menderes,4641
Arnavutköy,Arnavutköy Mehmet Akif Ersoy,7045
Arnavutköy,Arnavutköy Taşoluk,9589
Arnavutköy,Arnavutköy Mareşal Fevzi Çakmak,6745
Arnavutköy,Arnavutköy Çilingir,1175
Arnavutköy,Arnavutköy Fatih,3948
Arnavutköy,Arnavutköy Ömerli,7562
Arnavutköy,Arnavutköy Sazlıbosna,1079
Arnavutköy,Arnavutköy Yeşilbayır,636
Arnavutköy,Arnavutköy Deliklikaya,8550
Arnavutköy,Arnavutköy Dursunköy,437
Arnavutköy,Arnavutköy Hastane,10538
Arnavutköy,Arnavutköy Hadımköy,26843
Arnavutköy,Arnavutköy Terkos,929
Arnavutköy,Arnavutköy Durusu,759
Arnavutköy,Arnavutköy Nenehatun,10783
Arnavutköy,Arnavutköy Mustafa Kemal Paşa,16840
Arnavutköy,Arnavutköy Anadolu,46624
Arnavutköy,Arnavutköy Hacımaşlı,675
Arnavutköy,Arnavutköy Tayakadın,3533
Arnavutköy,Arnavutköy Yeniköy,1529
Arnavutköy,Arnavutköy Baklalı,893
Arnavutköy,Arnavutköy Balaban,467
Arnavutköy,Arnavutköy Boyalık,764
Arnavutköy,Arnavutköy Karaburun,1888
Arnavutköy,Arnavutköy Yassıören,680
Ataşehir,Ataşehir Yenisahra,9487
Ataşehir,Ataşehir Barbaros,30735
Ataşehir,Ataşehir İçerenköy,70689
Ataşehir,Ataşehir Küçükbakkalköy,29259
Ataşehir,Ataşehir Kayışdağı,42425
Ataşehir,Ataşehir İnönü,31497
Ataşehir,Ataşehir Ferhatpaşa,20543
Ataşehir,Ataşehir Mustafa Kemal,13970
Ataşehir,Ataşehir Yeni Çamlıca,12833
Ataşehir,Ataşehir Esatpaşa,32602
Ataşehir,Ataşehir Fetih,11578
Ataşehir,Ataşehir Örnek,27072
Ataşehir,Ataşehir Aşıkveysel,12955
Ataşehir,Ataşehir Mevlana,17727
Ataşehir,Ataşehir Yenişehir,10674
Ataşehir,Ataşehir Mimar Sinan,9614
Ataşehir,Ataşehir Atatürk,32869
Avcılar,Avcılar Merkez,26898
Avcılar,Avcılar Ambarlı,33807
Avcılar,Avcılar Denizköşkler,40179
Avcılar,Avcılar Cihangir,61128
Avcılar,Avcılar Üniversite,27065
Avcılar,Avcılar Mustafa Kemalpaşa,45784
Avcılar,Avcılar Gümüşpala,36638
Avcılar,Avcılar Firuzköy,23919
Avcılar,Avcılar Yeşilkent,76042
Avcılar,Avcılar Tahtakale,65761
Bağcılar,Bağcılar Bağlar,17086
Bağcılar,Bağcılar Hürriyet,25567
Bağcılar,Bağcılar Barbaros,20349
Bağcılar,Bağcılar Kazım Karabekir,26879
Bağcılar,Bağcılar İnönü,22920
Bağcılar,Bağcılar Yıldıztepe,36402
Bağcılar,Bağcılar Yenigün,21166
Bağcılar,Bağcılar Merkez,27049
Bağcılar,Bağcılar Çınar,33398
Bağcılar,Bağcılar Sancaktepe,19260
Bağcılar,Bağcılar Yavuz Selim,27473
Bağcılar,Bağcılar Kirazlı,39340
Bağcılar,Bağcılar Yenimahalle,34138
Bağcılar,Bağcılar Güneşli,45518
Bağcılar,Bağcılar 15 Temmuz Mahallesi,50298
Bağcılar,Bağcılar Mahmutbey,25680
Bağcılar,Bağcılar Demirkapı,53791
Bağcılar,Bağcılar Fatih,41062
Bağcılar,Bağcılar Fevzi Çakmak,32703
Bağcılar,Bağcılar Kemalpaşa,32198
Bağcılar,Bağcılar Göztepe,40790
Bağcılar,Bağcılar 100. Yıl,46004
Bahçelievler,Bahçelievler Bahçelievler,57986
Bahçelievler,Bahçelievler Şirinevler,54808
Bahçelievler,Bahçelievler Siyavuşpaşa,61139
Bahçelievler,Bahçelievler Soğanlı,66182
Bahçelievler,Bahçelievler Cumhuriyet,39241
Bahçelievler,Bahçelievler Kocasinan Merkez,70612
Bahçelievler,Bahçelievler Yenibosna Merkez,36071
Bahçelievler,Bahçelievler Çobançeşme,31473
Bahçelievler,Bahçelievler Fevzi Çakmak,23814
Bahçelievler,Bahçelievler Zafer,80897
Bahçelievler,Bahçelievler Hürriyet,45625
Bakırköy,Bakırköy Osmaniye,22718
Bakırköy,Bakırköy Yeşilköy,24941
Bakırköy,Bakırköy Yenimahalle,6329
Bakırköy,Bakırköy Sakızağacı,8623
Bakırköy,Bakırköy Cevizlik,5108
Bakırköy,Bakırköy Zeytinlik,5146
Bakırköy,Bakırköy Ataköy 2-5-6. Kısım,14094
Bakırköy,Bakırköy Yeşilyurt,8262
Bakırköy,Bakırköy Ataköy 7-8-9-10. Kısım,26669
Bakırköy,Bakırköy Kartaltepe,34831
Bakırköy,Bakırköy Zuhuratbaba,20290
Bakırköy,Bakırköy Şenlikköy,28000
Bakırköy,Bakırköy Basınköy,6022
Bakırköy,Bakırköy Ataköy 3-4-11. Kısım,7809
Bakırköy,Bakırköy Ataköy 1. Kısım,1634
Bakırköy,Bakırköy Yeşilköy,24941
Başakşehir,Başakşehir Başak,70758
Başakşehir,Başakşehir Başakşehir,71096
Başakşehir,Başakşehir Kayabaşı,108455
Başakşehir,Başakşehir Şahintepe,32254
Başakşehir,Başakşehir Ziya Gökalp,29997
Başakşehir,Başakşehir Güvercintepe,74234
Başakşehir,Başakşehir Altınşehir,24901
Başakşehir,Başakşehir Bahçeşehir 1. Kısım,36693
Başakşehir,Başakşehir Bahçeşehir 2. Kısım,60171
Başakşehir,Başakşehir Ziya Gökalp,29997
Başakşehir,Başakşehir Şamlar,1262
Bayrampaşa,Bayrampaşa Cevatpaşa,18485
Bayrampaşa,Bayrampaşa Orta,15037
Bayrampaşa,Bayrampaşa Vatan,9207
Bayrampaşa,Bayrampaşa Terazidere,15345
Bayrampaşa,Bayrampaşa Altıntepsi,28989
Bayrampaşa,Bayrampaşa Yenidoğan,17867
Bayrampaşa,Bayrampaşa İsmet Paşa,14782
Bayrampaşa,Bayrampaşa Yıldırım,52231
Bayrampaşa,Bayrampaşa Kartaltepe,43195
Bayrampaşa,Bayrampaşa Kocatepe,20499
Bayrampaşa,Bayrampaşa Muratpaşa,33213
Beşiktaş,Beşiktaş Vişnezade,7959
Beşiktaş,Beşiktaş Sinanpaşa,2145
Beşiktaş,Beşiktaş Muradiye,4559
Beşiktaş,Beşiktaş Cihannüma,3490
Beşiktaş,Beşiktaş Türkali,9696
Beşiktaş,Beşiktaş Abbasağa,4379
Beşiktaş,Beşiktaş Yıldız,4812
Beşiktaş,Beşiktaş Dikilitaş,15149
Beşiktaş,Beşiktaş Gayrettepe,12858
Beşiktaş,Beşiktaş Balmumcu,2947
Beşiktaş,Beşiktaş Mecidiye,9810
Beşiktaş,Beşiktaş Ortaköy,9077
Beşiktaş,Beşiktaş Levazım,5955
Beşiktaş,Beşiktaş Ulus,6834
Beşiktaş,Beşiktaş Kuruçeşme,2771
Beşiktaş,Beşiktaş Kültür,4489
Beşiktaş,Beşiktaş Nisbetiye,11235
Beşiktaş,Beşiktaş Arnavutköy,3435
Beşiktaş,Beşiktaş Bebek,5378
Beşiktaş,Beşiktaş Etiler,10541
Beşiktaş,Beşiktaş Akat,12779
Beşiktaş,Beşiktaş Levent,2794
Beşiktaş,Beşiktaş Konaklar,15930
Beykoz,Beykoz Gümüşsuyu,13210
Beykoz,Beykoz İncirköy,16688
Beykoz,Beykoz Paşabahçe,3670
Beykoz,Beykoz Çiğdem,10916
Beykoz,Beykoz Çubuklu,20186
Beykoz,Beykoz Kanlıca,3874
Beykoz,Beykoz Anadolu Hisarı,2499
Beykoz,Beykoz Göksu,2300
Beykoz,Beykoz Yeni Mahalle,19236
Beykoz,Beykoz Göztepe,9652
Beykoz,Beykoz Kavacık,22219
Beykoz,Beykoz Rüzgarlıbahçe,7995
Beykoz,Beykoz Soğuksu,10861
Beykoz,Beykoz Acarlar,8402
Beykoz,Beykoz Merkez,5838
Beykoz,Beykoz Yalıköy,5158
Beykoz,Beykoz Çamlıbahçe,6150
Beykoz,Beykoz Ortaçeşme,7744
Beykoz,Beykoz Tokatköy,13641
Beykoz,Beykoz Anadolu Kavağı,1528
Beykoz,Beykoz Baklacı,3122
Beykoz,Beykoz Çengeldere,5420
Beykoz,Beykoz Çiftlik,5591
Beykoz,Beykoz Fatih,4189
Beykoz,Beykoz Yavuz Selim,5464
Beykoz,Beykoz Akbaba,2709
Beykoz,Beykoz Alibahadır,782
Beykoz,Beykoz Anadolufeneri,688
Beykoz,Beykoz Riva,3266
Beykoz,Beykoz Dereseki,1677
Beykoz,Beykoz Elmalı,3144
Beykoz,Beykoz Görele,2076
Beykoz,Beykoz Kaynarca,846
Beykoz,Beykoz Polonezköy,411
Beykoz,Beykoz Poyrazköy,890
Beykoz,Beykoz Örnekköy,4156
Beykoz,Beykoz Mahmutşevketpaşa,1840
Beykoz,Beykoz Bozhane,467
Beykoz,Beykoz Cumhuriyet,1996
Beykoz,Beykoz Göllü,255
Beykoz,Beykoz İshaklı,1389
Beykoz,Beykoz Kılıçlı,551
Beykoz,Beykoz Öğümce,481
Beykoz,Beykoz Paşamandıra,1353
Beykoz,Beykoz Zerzavatçı,1117
Beylikdüzü,Beylikdüzü Gürpınar,20533
Beylikdüzü,Beylikdüzü Adnan Kahveci,110619
Beylikdüzü,Beylikdüzü Dereağzı,20165
Beylikdüzü,Beylikdüzü Kavaklı,59873
Beylikdüzü,Beylikdüzü Cumhuriyet,24787
Beylikdüzü,Beylikdüzü Barış,56586
Beylikdüzü,Beylikdüzü Sahil,6887
Beylikdüzü,Beylikdüzü Büyükşehir,21257
Beylikdüzü,Beylikdüzü Marmara,31643
Beylikdüzü,Beylikdüzü Yakuplu,56997
Beylikdüzü,Beylikdüzü Yakuplu,56997
Beyoğlu,Beyoğlu Fetihtepe,12436
Beyoğlu,Beyoğlu Piyalepaşa,20794
Beyoğlu,Beyoğlu Kaptanpaşa,18845
